LABEL,T_F,W,A,D,HT,OD,BF,B,ID,TW,TF,T,TNOM,TDES,KDES,KDET,K1,X,Y,E0,XP,YP,BF_2TF,B_T,H_TW,H_T,D_T,IX,ZX,SX,RX,IY,ZY,SY,RY,RZ,J,CW,C,WNO,SW,QF,QW,RO,H,TAN_ALPHA,QS
WT9X20,F,20,5.88,8.95,0,0,6.02,0,0,0.315,0.525,0,0,0,0.927,1.1875,0,0,2.29,0,0,0.489,5.73,0,25.5,0,28.4,44.8,12,6.73,2.76,9.55,4.97,3.17,1.27,0,0.404,0.788,0,0,0,0,0,3.65,0.693,0,0.495
WT9X17.5,F,17.5,5.15,8.85,0,0,6,0,0,0.3,0.425,0,0,0,0.827,1.125,0,0,2.39,0,0,0.45,7.06,0,26.7,0,29.5,40.1,11.2,6.21,2.79,7.67,4.02,2.56,1.22,0,0.252,0.598,0,0,0,0,0,3.74,0.662,0,0.46
WT9X155.5,F,156,45.8,11.2,0,0,12,0,0,1.52,2.74,0,0,0,3.24,3.4375,0,0,2.93,0,0,1.91,2.19,0,5.21,0,7.34,383,90.6,46.6,2.89,398,104,66.2,2.95,0,87.2,339,0,0,0,0,0,4.41,0.875,0,1
WT9X141.5,F,142,41.6,10.9,0,0,11.9,0,0,1.4,2.5,0,0,0,3,0.1875,0,0,2.8,0,0,1.75,2.38,0,5.66,0,7.8,337,80.2,41.5,2.85,352,92.5,59.2,2.91,0,66.5,251,0,0,0,0,0,4.36,0.873,0,1
WT9X129,F,129,37.9,10.7,0,0,11.8,0,0,1.28,2.3,0,0,0,2.7,3,0,0,2.68,0,0,1.61,2.56,0,6.27,0,8.38,298,71,37,2.8,314,83.1,53.4,2.88,0,51.1,189,0,0,0,0,0,4.3,0.874,0,1
WT9X117,F,117,34.4,10.5,0,0,11.7,0,0,1.16,2.11,0,0,0,2.51,2.75,0,0,2.55,0,0,1.48,2.76,0,6.91,0,9.08,261,62.4,32.7,2.75,279,74.4,47.9,2.85,0,39.1,140,0,0,0,0,0,4.23,0.875,0,1
WT9X105.5,F,106,31.1,10.3,0,0,11.6,0,0,1.06,1.91,0,0,0,2.31,0.5625,0,0,2.44,0,0,1.34,3.02,0,7.57,0,9.75,229,55,29.1,2.72,246,66.1,42.7,2.82,0,29.1,102,0,0,0,0,0,4.19,0.874,0,1
WT8X50,F,50,14.7,8.49,0,0,10.4,0,0,0.585,0.985,0,0,0,1.39,1.875,0,0,1.76,0,0,0.706,5.29,0,11.6,0,14.5,76.8,20.7,11.4,2.28,93.1,27.4,17.9,2.51,0,3.85,10.4,0,0,0,0,0,3.63,0.878,0,1
WT8X44.5,F,44.5,13.1,8.38,0,0,10.4,0,0,0.525,0.875,0,0,0,1.58,1.75,0,0,1.7,0,0,0.631,5.92,0,12.9,0,16,67.2,18.1,10.1,2.27,81.3,24,15.7,2.49,0,2.72,7.19,0,0,0,0,0,3.6,0.877,0,1
WT8X38.5,F,38.5,11.3,8.26,0,0,10.3,0,0,0.455,0.76,0,0,0,1.47,1.625,0,0,1.63,0,0,0.549,6.77,0,14.9,0,18.2,56.9,15.3,8.59,2.24,69.2,20.5,13.4,2.47,0,1.78,4.61,0,0,0,0,0,3.57,0.877,0,0.99
WT8X33.5,F,33.5,9.84,8.17,0,0,10.2,0,0,0.395,0.665,0,0,0,1.37,1.5625,0,0,1.56,0,0,0.481,7.7,0,17.2,0,20.7,48.6,13,7.36,2.22,59.5,17.7,11.6,2.46,0,1.19,3.01,0,0,0,0,0,3.54,0.879,0,0.863
WT8X28.5,F,28.5,8.39,8.22,0,0,7.12,0,0,0.43,0.715,0,0,0,1.12,1.375,0,0,1.94,0,0,0.589,4.98,0,16.5,0,19.1,48.7,13.8,7.77,2.41,21.6,9.42,6.06,1.6,0,1.1,1.99,0,0,0,0,0,3.3,0.77,0,0.942
WT8X25,F,25,7.37,8.13,0,0,7.07,0,0,0.38,0.63,0,0,0,1.03,1.3125,0,0,1.89,0,0,0.521,5.61,0,18.7,0,21.4,42.3,12,6.78,2.4,18.6,8.15,5.26,1.59,0,0.76,1.34,0,0,0,0,0,3.28,0.769,0,0.826
WT8X22.5,F,22.5,6.63,8.07,0,0,7.04,0,0,0.345,0.565,0,0,0,0.967,1.25,0,0,1.86,0,0,0.471,6.23,0,20.6,0,23.4,37.8,10.8,6.1,2.39,16.4,7.22,4.67,1.57,0,0.555,0.974,0,0,0,0,0,3.27,0.767,0,0.726
WT8X20,F,20,5.89,8.01,0,0,7,0,0,0.305,0.505,0,0,0,0.907,1.1875,0,0,1.81,0,0,0.421,6.93,0,23.3,0,26.2,33.1,9.43,5.35,2.37,14.4,6.36,4.12,1.56,0,0.396,0.673,0,0,0,0,0,3.24,0.769,0,0.581
WT8X18,F,18,5.29,7.93,0,0,6.99,0,0,0.295,0.43,0,0,0,0.832,1.125,0,0,1.88,0,0,0.378,8.12,0,24.1,0,26.9,30.6,8.93,5.05,2.41,12.2,5.42,3.5,1.52,0,0.272,0.516,0,0,0,0,0,3.3,0.745,0,0.554
WT8X15.5,F,15.5,4.56,7.94,0,0,5.53,0,0,0.275,0.44,0,0,0,0.842,1.125,0,0,2.02,0,0,0.413,6.28,0,25.8,0,28.9,27.5,8.27,4.64,2.45,6.2,3.51,2.24,1.17,0,0.23,0.366,0,0,0,0,0,3.26,0.695,0,0.48
WT8X13,F,13,3.84,7.85,0,0,5.5,0,0,0.25,0.345,0,0,0,0.747,1.0625,0,0,2.09,0,0,0.372,7.97,0,28.4,0,31.4,23.5,7.36,4.09,2.47,4.79,2.73,1.74,1.12,0,0.13,0.243,0,0,0,0,0,3.32,0.667,0,0.406
WT7X96.5,F,96.5,28.4,7.74,0,0,15.7,0,0,0.89,1.44,0,0,0,2.04,2.75,0,0,1.49,0,0,0.903,5.45,0,6.41,0,8.7,89.8,29.4,14.4,1.78,466,90.1,59.3,4.05,0,17.3,87.2,0,0,0,0,0,4.49,0.971,0,1
WT7X88,F,88,25.9,7.61,0,0,15.7,0,0,0.83,1.31,0,0,0,1.91,2.625,0,0,1.43,0,0,0.827,5.97,0,6.87,0,9.17,80.5,26.3,13,1.76,419,81.3,53.5,4.02,0,13.2,65.2,0,0,0,0,0,4.46,0.97,0,1
WT7X79.5,F,79.5,23.4,7.49,0,0,15.6,0,0,0.745,1.19,0,0,0,1.79,2.5,0,0,1.35,0,0,0.751,6.54,0,7.65,0,10.1,70.2,22.8,11.4,1.73,374,73,48.1,4,0,9.84,47.9,0,0,0,0,0,4.43,0.971,0,1
WT7X72.5,F,72.5,21.3,7.39,0,0,15.5,0,0,0.68,1.09,0,0,0,1.69,2.375,0,0,1.29,0,0,0.688,7.11,0,8.39,0,10.9,62.5,20.2,10.2,1.71,338,66.2,43.7,3.98,0,7.56,36.3,0,0,0,0,0,4.4,0.971,0,1
WT7X66,F,66,19.4,7.33,0,0,14.7,0,0,0.645,1.03,0,0,0,1.63,2.3125,0,0,1.29,0,0,0.658,7.15,0,8.84,0,11.4,57.8,18.6,9.57,1.73,274,56.5,37.2,3.76,0,6.13,26.6,0,0,0,0,0,4.21,0.966,0,1
WT7X60,F,60,17.7,7.24,0,0,14.7,0,0,0.59,0.94,0,0,0,1.54,2.25,0,0,1.24,0,0,0.602,7.8,0,9.66,0,12.3,51.7,16.5,8.61,1.71,247,51.2,33.7,3.74,0,4.67,20,0,0,0,0,0,4.19,0.966,0,1
WT7X54.5,F,54.5,16,7.16,0,0,14.6,0,0,0.525,0.86,0,0,0,1.46,2.1875,0,0,1.17,0,0,0.548,8.49,0,10.9,0,13.6,45.3,14.4,7.56,1.68,223,46.3,30.6,3.73,0,3.55,15,0,0,0,0,0,4.16,0.968,0,1
WT7X49.5,F,49.5,14.6,7.08,0,0,14.6,0,0,0.485,0.78,0,0,0,1.38,2.0625,0,0,1.14,0,0,0.5,9.34,0,11.8,0,14.6,40.9,12.9,6.88,1.67,201,41.8,27.6,3.71,0,2.68,11.1,0,0,0,0,0,4.14,0.967,0,1
WT7X45,F,45,13.2,7.01,0,0,14.5,0,0,0.44,0.71,0,0,0,1.31,2,0,0,1.09,0,0,0.456,10.2,0,13,0,15.9,36.5,11.5,6.16,1.66,181,37.8,25,3.7,0,2.03,8.31,0,0,0,0,0,4.12,0.968,0,1
WT7X41,F,41,12,7.16,0,0,10.1,0,0,0.51,0.855,0,0,0,1.45,1.6875,0,0,1.39,0,0,0.593,5.92,0,11.2,0,14,41.2,13.2,7.14,1.85,74.1,22.4,14.6,2.48,0,2.53,5.63,0,0,0,0,0,3.24,0.912,0,1
WT7X37,F,37,10.9,7.09,0,0,10.1,0,0,0.45,0.785,0,0,0,1.38,1.625,0,0,1.32,0,0,0.541,6.41,0,12.7,0,15.7,36,11.5,6.25,1.82,66.9,20.2,13.3,2.48,0,1.93,4.19,0,0,0,0,0,3.21,0.916,0,1
WT7X365,T,365,107,11.2,0,0,17.9,0,0,3.07,4.91,0,0,0,5.51,6.1875,0,0,3.47,0,0,3,1.82,0,1.86,0,3.65,739,211,95.4,2.62,2360,408,264,4.69,0,714,5250,0,0,0,0,0,5.47,0.966,0,1
WT7X34,F,34,10,7.02,0,0,10,0,0,0.415,0.72,0,0,0,1.31,1.5625,0,0,1.29,0,0,0.498,6.97,0,13.8,0,16.9,32.6,10.4,5.69,1.81,60.7,18.4,12.1,2.46,0,1.5,3.21,0,0,0,0,0,3.19,0.916,0,1
WT7X332.5,T,332,97.8,10.8,0,0,17.7,0,0,2.83,4.52,0,0,0,5.12,5.8125,0,0,3.25,0,0,2.77,1.95,0,2.01,0,3.82,622,182,82.1,2.52,2080,365,236,4.62,0,555,3920,0,0,0,0,0,5.35,0.966,0,1
WT7X302.5,T,302,88.9,10.5,0,0,17.4,0,0,2.6,4.16,0,0,0,4.76,5.4375,0,0,3.05,0,0,2.55,2.09,0,2.2,0,4.03,524,157,70.6,2.43,1840,326,211,4.55,0,430,2930,0,0,0,0,0,5.24,0.966,0,1
WT7X30.5,F,30.5,8.96,6.95,0,0,10,0,0,0.375,0.645,0,0,0,1.24,1.5,0,0,1.25,0,0,0.448,7.75,0,15.2,0,18.5,28.9,9.15,5.07,1.8,53.7,16.4,10.7,2.45,0,1.09,2.29,0,0,0,0,0,3.17,0.915,0,0.972
WT7X275,T,275,80.9,10.1,0,0,17.2,0,0,2.38,3.82,0,0,0,4.42,5.125,0,0,2.85,0,0,2.35,2.25,0,2.4,0,4.25,442,136,60.9,2.34,1630,292,189,4.49,0,331,2180,0,0,0,0,0,5.15,0.966,0,1
WT7X26.5,F,26.5,7.8,6.96,0,0,8.06,0,0,0.37,0.66,0,0,0,1.25,1.5,0,0,1.38,0,0,0.484,6.11,0,15.4,0,18.8,27.6,8.87,4.94,1.88,28.8,11,7.15,1.92,0,0.967,1.46,0,0,0,0,0,2.89,0.868,0,0.957
WT7X250,T,250,73.5,9.8,0,0,17,0,0,2.19,3.5,0,0,0,4.1,4.8125,0,0,2.67,0,0,2.16,2.43,0,2.6,0,4.47,375,117,52.7,2.26,1440,261,169,4.43,0,254,1620,0,0,0,0,0,5.06,0.967,0,1
WT7X24,F,24,7.07,6.9,0,0,8.03,0,0,0.34,0.595,0,0,0,1.19,1.4375,0,0,1.35,0,0,0.44,6.75,0,16.8,0,20.3,24.9,8,4.49,1.88,25.7,9.8,6.4,1.91,0,0.723,1.07,0,0,0,0,0,2.87,0.866,0,0.883
WT7X227.5,T,228,66.9,9.51,0,0,16.8,0,0,2.02,3.21,0,0,0,3.81,4.5,0,0,2.51,0,0,1.99,2.62,0,2.83,0,4.72,321,102,45.9,2.19,1280,234,152,4.38,0,196,1210,0,0,0,0,0,4.98,0.967,0,1
WT7X213,T,213,62.6,9.34,0,0,16.7,0,0,1.88,3.04,0,0,0,3.63,4.3125,0,0,2.4,0,0,1.88,2.75,0,3.04,0,4.98,287,91.7,41.4,2.14,1180,217,141,4.34,0,164,991,0,0,0,0,0,4.92,0.968,0,1
WT7X21.5,F,21.5,6.31,6.83,0,0,8,0,0,0.305,0.53,0,0,0,1.12,1.375,0,0,1.31,0,0,0.395,7.54,0,18.7,0,22.4,21.9,7.05,3.98,1.86,22.6,8.64,5.65,1.89,0,0.522,0.751,0,0,0,0,0,2.86,0.865,0,0.776
WT7X199,T,199,58.5,9.15,0,0,16.6,0,0,1.77,2.85,0,0,0,3.44,4.125,0,0,2.3,0,0,1.76,2.92,0,3.22,0,5.17,257,82.9,37.6,2.1,1090,201,131,4.31,0,135,801,0,0,0,0,0,4.87,0.968,0,1
WT7X19,F,19,5.58,7.05,0,0,6.77,0,0,0.31,0.515,0,0,0,0.915,1.25,0,0,1.54,0,0,0.412,6.57,0,19.8,0,22.7,23.3,7.45,4.22,2.04,13.3,6.07,3.94,1.55,0,0.398,0.554,0,0,0,0,0,2.86,0.799,0,0.758
WT7X185,T,185,54.4,8.96,0,0,16.5,0,0,1.66,2.66,0,0,0,3.26,3.9375,0,0,2.19,0,0,1.65,3.1,0,3.45,0,5.41,229,74.4,33.9,2.05,994,185,121,4.27,0,110,640,0,0,0,0,0,4.82,0.968,0,1
WT7X171,T,171,50.3,8.77,0,0,16.4,0,0,1.54,2.47,0,0,0,3.07,3.75,0,0,2.09,0,0,1.54,3.31,0,3.7,0,5.69,203,66.2,30.4,2.01,903,169,110,4.24,0,88.3,502,0,0,0,0,0,4.77,0.968,0,1
WT7X17,F,17,5,6.99,0,0,6.75,0,0,0.285,0.455,0,0,0,0.855,1.1875,0,0,1.53,0,0,0.371,7.41,0,21.5,0,24.5,20.9,6.74,3.83,2.04,11.6,5.32,3.45,1.53,0,0.284,0.4,0,0,0,0,0,2.87,0.792,0,0.668
WT7X155.5,T,156,45.7,8.56,0,0,16.2,0,0,1.41,2.26,0,0,0,2.86,3.5625,0,0,1.97,0,0,1.41,3.59,0,4.04,0,6.07,176,57.7,26.7,1.96,807,152,99.4,4.2,0,67.5,375,0,0,0,0,0,4.71,0.969,0,1
WT7X15,F,15,4.42,6.92,0,0,6.73,0,0,0.27,0.385,0,0,0,0.785,1.125,0,0,1.58,0,0,0.329,8.74,0,22.7,0,25.6,19,6.25,3.55,2.07,9.79,4.49,2.91,1.49,0,0.19,0.287,0,0,0,0,0,2.9,0.772,0,0.609
WT7X141.5,T,142,41.6,8.37,0,0,16.1,0,0,1.29,2.07,0,0,0,2.67,3.375,0,0,1.86,0,0,1.29,3.89,0,4.42,0,6.49,153,50.4,23.5,1.92,722,137,89.7,4.17,0,51.8,281,0,0,0,0,0,4.66,0.969,0,1
WT7X13,F,13,3.85,6.96,0,0,5.03,0,0,0.255,0.42,0,0,0,0.82,1.125,0,0,1.72,0,0,0.383,5.98,0,24.1,0,27.3,17.3,5.89,3.31,2.12,4.45,2.76,1.77,1.08,0,0.179,0.207,0,0,0,0,0,2.82,0.712,0,0.538
WT7X128.5,T,128,37.8,8.19,0,0,16,0,0,1.18,1.89,0,0,0,2.49,3.1875,0,0,1.75,0,0,1.18,4.23,0,4.85,0,6.97,133,43.9,20.7,1.88,645,123,80.7,4.13,0,39.3,209,0,0,0,0,0,4.61,0.969,0,1
WT7X116.5,T,116,34.2,8.02,0,0,15.9,0,0,1.07,1.72,0,0,0,2.32,3,0,0,1.65,0,0,1.08,4.62,0,5.33,0,7.5,116,38.2,18.2,1.84,576,110,72.5,4.1,0,29.6,154,0,0,0,0,0,4.57,0.97,0,1
WT7X11,F,11,3.25,6.87,0,0,5,0,0,0.23,0.335,0,0,0,0.735,1.0625,0,0,1.76,0,0,0.325,7.46,0,26.7,0,29.9,14.8,5.2,2.91,2.14,3.5,2.19,1.4,1.04,0,0.104,0.134,0,0,0,0,0,2.86,0.689,0,0.448
WT7X105.5,F,106,31,7.86,0,0,15.8,0,0,0.98,1.56,0,0,0,2.16,2.875,0,0,1.57,0,0,0.98,5.06,0,5.82,0,8.02,102,33.4,16.2,1.81,513,98.9,65,4.07,0,22.2,113,0,0,0,0,0,4.52,0.97,0,1
WT6X95,F,95,27.9,7.19,0,0,12.7,0,0,1.06,1.74,0,0,0,2.33,2.625,0,0,1.62,0,0,1.1,3.65,0,4.58,0,6.78,79,29.8,14.2,1.68,295,71.2,46.5,3.25,0,24.3,82.1,0,0,0,0,0,3.73,0.96,0,1
WT6X9.5,F,9.5,2.79,6.08,0,0,4.01,0,0,0.235,0.35,0,0,0,0.65,0.875,0,0,1.65,0,0,0.348,5.72,0,23.1,0,25.9,10.1,4.11,2.28,1.9,1.88,1.49,0.939,0.821,0,0.0899,0.0934,0,0,0,0,0,2.54,0.665,0,0.598
WT6X85,F,85,25,7.02,0,0,12.6,0,0,0.96,1.56,0,0,0,2.16,2.4375,0,0,1.52,0,0,0.994,4.03,0,5.06,0,7.31,67.8,25.6,12.3,1.65,259,62.9,41.2,3.22,0,17.7,58.3,0,0,0,0,0,3.69,0.96,0,1
WT6X8,F,8,2.36,6,0,0,3.99,0,0,0.22,0.265,0,0,0,0.565,0.8125,0,0,1.74,0,0,0.639,7.53,0,24.7,0,27.3,8.7,3.72,2.04,1.92,1.41,1.13,0.706,0.773,0,0.0511,0.0678,0,0,0,0,0,2.62,0.624,0,0.539
WT6X76,F,76,22.4,6.86,0,0,12.5,0,0,0.87,1.4,0,0,0,2,2.3125,0,0,1.43,0,0,0.896,4.46,0,5.58,0,7.88,58.5,22,10.8,1.62,227,55.6,36.4,3.19,0,12.8,41.3,0,0,0,0,0,3.65,0.96,0,1
WT6X7,F,7,2.08,5.96,0,0,3.97,0,0,0.2,0.225,0,0,0,0.525,0.75,0,0,1.76,0,0,0.76,8.82,0,27.2,0,29.8,7.67,3.32,1.83,1.92,1.18,0.947,0.593,0.753,0,0.035,0.0493,0,0,0,0,0,2.64,0.611,0,0.451
WT6X68,F,68,20,6.71,0,0,12.4,0,0,0.79,1.25,0,0,0,1.85,2.125,0,0,1.35,0,0,0.805,4.96,0,6.15,0,8.49,50.6,19,9.46,1.59,199,48.9,32.1,3.16,0,9.21,28.9,0,0,0,0,0,3.61,0.959,0,1
WT6X60,F,60,17.6,6.56,0,0,12.3,0,0,0.71,1.11,0,0,0,1.7,2,0,0,1.28,0,0,0.716,5.57,0,6.84,0,9.24,43.4,16.2,8.22,1.57,172,42.7,28,3.13,0,6.42,19.7,0,0,0,0,0,3.57,0.959,0,1
WT6X53,F,53,15.6,6.45,0,0,12.2,0,0,0.61,0.99,0,0,0,1.59,1.875,0,0,1.19,0,0,0.637,6.17,0,7.96,0,10.6,36.3,13.6,6.92,1.53,151,37.5,24.7,3.11,0,4.55,13.6,0,0,0,0,0,3.53,0.961,0,1
WT6X48,F,48,14.1,6.36,0,0,12.2,0,0,0.55,0.9,0,0,0,1.5,1.8125,0,0,1.13,0,0,0.58,6.76,0,8.83,0,11.6,32,11.9,6.12,1.51,135,33.7,22.2,3.09,0,3.42,10.1,0,0,0,0,0,3.51,0.962,0,1
WT6X43.5,F,43.5,12.8,6.27,0,0,12.1,0,0,0.515,0.81,0,0,0,1.41,1.6875,0,0,1.1,0,0,0.527,7.48,0,9.43,0,12.2,28.9,10.7,5.6,1.5,120,30.2,19.9,3.07,0,2.54,7.34,0,0,0,0,0,3.49,0.96,0,1
WT6X39.5,F,39.5,11.6,6.19,0,0,12.1,0,0,0.47,0.735,0,0,0,1.33,1.625,0,0,1.06,0,0,0.48,8.22,0,10.3,0,13.2,25.8,9.49,5.03,1.49,108,27.1,17.9,3.05,0,1.91,5.43,0,0,0,0,0,3.47,0.96,0,1
WT6X36,F,36,10.6,6.13,0,0,12,0,0,0.43,0.67,0,0,0,1.27,1.5625,0,0,1.02,0,0,0.439,8.99,0,11.3,0,14.2,23.2,8.48,4.54,1.48,97.5,24.6,16.2,3.04,0,1.46,4.07,0,0,0,0,0,3.45,0.96,0,1
WT6X32.5,F,32.5,9.54,6.06,0,0,12,0,0,0.39,0.605,0,0,0,1.2,1.5,0,0,0.985,0,0,0.398,9.92,0,12.5,0,15.5,20.6,7.5,4.06,1.47,87.2,22,14.5,3.02,0,1.09,2.97,0,0,0,0,0,3.43,0.96,0,1
WT6X29,F,29,8.52,6.1,0,0,10,0,0,0.36,0.64,0,0,0,1.24,1.5,0,0,1.03,0,0,0.426,7.82,0,13.5,0,16.9,19.1,6.97,3.76,1.5,53.5,16.2,10.7,2.51,0,1.05,2.08,0,0,0,0,0,3,0.944,0,1
WT6X26.5,F,26.5,7.78,6.03,0,0,10,0,0,0.345,0.575,0,0,0,1.17,1.375,0,0,1.02,0,0,0.389,8.69,0,14.1,0,17.5,17.7,6.46,3.54,1.51,47.9,14.5,9.58,2.48,0,0.788,1.53,0,0,0,0,0,3,0.939,0,1
WT6X25,F,25,7.3,6.1,0,0,8.08,0,0,0.37,0.64,0,0,0,1.14,1.5,0,0,1.17,0,0,0.452,6.31,0,13.4,0,16.5,18.7,6.88,3.79,1.6,28.2,10.6,6.97,1.96,0,0.855,1.23,0,0,0,0,0,2.67,0.899,0,1
WT6X22.5,F,22.5,6.56,6.03,0,0,8.05,0,0,0.335,0.575,0,0,0,1.08,1.375,0,0,1.13,0,0,0.408,7,0,14.8,0,18,16.6,6.1,3.39,1.59,25,9.47,6.21,1.95,0,0.627,0.885,0,0,0,0,0,2.66,0.898,0,0.998
WT6X20,F,20,5.84,5.97,0,0,8.01,0,0,0.295,0.515,0,0,0,1.02,1.375,0,0,1.09,0,0,0.365,7.77,0,16.8,0,20.2,14.4,5.28,2.95,1.57,22,8.38,5.5,1.94,0,0.452,0.62,0,0,0,0,0,2.63,0.901,0,0.885
WT6X17.5,F,17.5,5.17,6.25,0,0,6.56,0,0,0.3,0.52,0,0,0,0.82,1.1875,0,0,1.3,0,0,0.394,6.31,0,18.1,0,20.8,16,5.71,3.23,1.76,12.2,5.73,3.73,1.54,0,0.369,0.437,0,0,0,0,0,2.56,0.834,0,0.855
WT6X168,T,168,49.4,8.41,0,0,13.4,0,0,1.78,2.96,0,0,0,3.55,3.875,0,0,2.31,0,0,1.84,2.26,0,2.74,0,4.74,190,68.4,31.2,1.96,593,137,88.6,3.47,0,120,481,0,0,0,0,0,4.07,0.958,0,1
WT6X152.5,T,152,44.8,8.16,0,0,13.2,0,0,1.63,2.71,0,0,0,3.3,3.625,0,0,2.16,0,0,1.69,2.45,0,2.99,0,5.02,162,59.1,27,1.9,525,122,79.3,3.42,0,92,356,0,0,0,0,0,4,0.959,0,1
WT6X15,F,15,4.4,6.17,0,0,6.52,0,0,0.26,0.44,0,0,0,0.74,1.125,0,0,1.27,0,0,0.337,7.41,0,20.9,0,23.7,13.5,4.83,2.75,1.75,10.2,4.78,3.12,1.52,0,0.228,0.267,0,0,0,0,0,2.54,0.83,0,0.708
